103-0,INGENIERÍA AGRONÓMICA,33,INGENIERO AGRÓNOMO,LICENCIATURA,A,1
140-0,BIOLOGÍA,81,BIÓLOGO,LICENCIATURA,A,1
140-1,BIOLOGÍA,81,BIÓLOGO,LICENCIATURA,A,1
140-2,BIOLOGÍA,81,BIÓLOGO,LICENCIATURA,A,1
140-3,BIOLOGÍA,81,BIÓLOGO,LICENCIATURA,A,1
140-4,BIOLOGÍA,81,BIÓLOGO,LICENCIATURA,A,1
153-0,INGENIERÍA AGRONÓMICA,33,INGENIERO AGRÓNOMO,LICENCIATURA,A,1
153-1,INGENIERÍA AGRONÓMICA,33,INGENIERO AGRÓNOMO,LICENCIATURA,A,1
153-1,INGENIERÍA AGRONÓMICA,933,TÉCNICO SUPERIOR EN AGROPECUARIA,TECNICO SUPERIOR,A,1
153-1,INGENIERÍA AGRONÓMICA,156,TÉCNICO UNIVERSITARIO SUPERIOR EN AGROPECUARIA,TECNICO SUPERIOR,A,1
153-2,INGENIERÍA AGRONÓMICA,33,INGENIERO AGRÓNOMO,LICENCIATURA,A,1
153-3,INGENIERÍA AGRONÓMICA,33,INGENIERO AGRÓNOMO,LICENCIATURA,A,1
154-0,INGENIERÍA AGRÍCOLA,172,INGENIERO AGRÍCOLA,LICENCIATURA,A,1
154-1,INGENIERÍA AGRÍCOLA,172,INGENIERO AGRÍCOLA,LICENCIATURA,A,1
170-0,INGENIERÍA FORESTAL,37,INGENIERO FORESTAL,LICENCIATURA,A,1
170-1,INGENIERÍA FORESTAL,37,INGENIERO FORESTAL,LICENCIATURA,A,1
170-2,INGENIERÍA FORESTAL,37,INGENIERO FORESTAL,LICENCIATURA,A,1
171-0,CIENCIAS AMBIENTALES,444,LICENCIADO EN CIENCIAS AMBIENTALES,LICENCIATURA,A,1
171-1,CIENCIAS AMBIENTALES,1243,VETERINARIO ZOOTECNISTA,LICENCIATURA,A,1
171-1,CIENCIAS AMBIENTALES,1245,TÉCNICO SUPERIOR MONITOR AMBIENTAL,TECNICO SUPERIOR,A,1
171-1,CIENCIAS AMBIENTALES,444,LICENCIADO EN CIENCIAS AMBIENTALES,LICENCIATURA,A,1
171-1,CIENCIAS AMBIENTALES,1246,AMBIENTÓLOGO,LICENCIATURA,A,1
239-1,AGROPECUARIA,184,INGENIERO AGROPECUARIO,LICENCIATURA,A,1
239-1,AGROPECUARIA,156,TÉCNICO UNIVERSITARIO SUPERIOR EN AGROPECUARIA,TECNICO SUPERIOR,A,1
105-0,CONTADURÍA PÚBLICA,85,CONTADOR GENERAL,TECNICO SUPERIOR,A,2
105-0,CONTADURÍA PÚBLICA,128,AUDITOR FINANCIERO,LICENCIATURA,A,2
105-0,CONTADURÍA PÚBLICA,83,CONTADOR PÚBLICO AUTORIZADO,LICENCIATURA,A,2
105-1,CONTADURÍA PÚBLICA,83,CONTADOR PÚBLICO AUTORIZADO,LICENCIATURA,A,2
105-1,CONTADURÍA PÚBLICA,85,CONTADOR GENERAL,TECNICO SUPERIOR,A,2
105-1,CONTADURÍA PÚBLICA,128,AUDITOR FINANCIERO,LICENCIATURA,A,2
105-4,CONTADURÍA PÚBLICA,83,CONTADOR PÚBLICO AUTORIZADO,LICENCIATURA,A,2
105-4,CONTADURÍA PÚBLICA,85,CONTADOR GENERAL,TECNICO SUPERIOR,A,2
105-4,CONTADURÍA PÚBLICA,128,AUDITOR FINANCIERO,LICENCIATURA,B,2
105-5,CONTADURÍA PÚBLICA,1540,TÉCNICO SUPERIOR EN CONTABILIDAD GENERAL,TECNICO SUPERIOR,A,2
105-5,CONTADURÍA PÚBLICA,85,CONTADOR GENERAL,TECNICO SUPERIOR,A,2
105-5,CONTADURÍA PÚBLICA,1253,TÉCNICO MEDIO - AUXILIAR CONTABLE,TECNICO MEDIO,A,2
